tiempo,volumen,hidrologia,turbinado,energia_turbinada,energia_eolica,energia_solar,energia_biomasa,energia_renovable,energia_termico_bajo,energia_termico_alto,costo_termico,ingreso_exportacion,demanda,demanda_residual,aportes,vertimiento,costo_vertimiento,action,reward,reward_usd
46,7875.132749217391,2.06,3908.6457984000003,148326.02382127658,104133.89710660212,11090.618849065764,32307.283140690088,147531.79909635798,25007.57790430052,0.0,2500757.790430052,0.0,252816.80290537444,105285.00380901646,3281.3454239999996,0.0,0.0,1.0,-2.500757790430052,-2500757.790430052
47,7247.832374817392,1.93,3707.1028249043484,140677.8332638298,101779.74723093813,11212.704877708187,34387.941797698426,147380.39390634475,32124.695945824245,0.0,3212469.594582425,0.0,252882.6829060886,105502.28899974385,2841.0467903999997,0.0,0.0,1.0,-3.2124695945824246,-3212469.5945824245
48,6381.776340313043,1.98,3424.9733542956524,129971.5312,99174.28621582552,11568.319282368751,35193.49844685015,145936.10394504442,44621.52954192093,11221.901145486547,7828723.297838056,0.0,287600.151518364,141664.04757331955,2566.8722016,0.0,0.0,1.0,-7.828723297838056,-7828723.2978380555
49,5523.67518761739,1.9,2948.9682227478256,111907.99919361701,99338.40944907123,11291.319964265569,34924.236809625756,145553.96622296254,46498.533605207325,6192.227787955218,6507521.696907299,0.0,269981.77250352496,124427.80628056244,2536.1126784,0.0,0.0,1.0,-6.507521696907299,-6507521.696907299
50,5110.819643269564,1.96,2969.6172254608696,112691.5914212766,97313.17091924296,11329.20102259438,35295.99925486828,143938.37119670562,48144.38146088326,8063.498915811607,7233487.820831809,0.0,272941.20547683694,129002.83428013133,2131.5661920000002,0.0,0.0,1.0,-7.233487820831808,-7233487.820831808
51,4272.768609808695,1.89,2641.099331895652,100224.9327829787,94055.30850885547,11043.135413804714,35184.48269391482,140282.926616575,55164.6231940657,14651.579291939619,9911936.106988456,0.0,281570.19380582887,141287.26718925388,1963.610208,0.0,0.0,1.0,-9.911936106988456,-9911936.106988456
52,3595.279485913043,1.91,2479.9338056347824,94108.99316595745,92467.96306251167,11350.593319777001,36432.24441620002,140250.8007984887,56045.417994389056,14325.95638074641,9902328.71366283,0.0,278529.30516817287,138278.50436968417,1675.8481824,0.0,0.0,1.0,-9.902328713662829,-9902328.71366283
53,2791.1938626782608,1.81,2069.542558330435,78535.38914468084,92077.1464552851,11269.442481945203,36251.92264326596,139598.51158049627,61521.596767205636,14638.532699577183,10543719.486593718,0.0,273271.2614697159,133672.74988921965,1725.2666270608697,0.0,0.0,1.0,-10.543719486593718,-10543719.486593718
54,2446.9179314086955,1.73,2027.5950765913044,76943.55824042553,90611.44799048475,11377.655082999983,36257.837276160855,138246.94034964562,65520.0,34064.257238006525,16771277.171401955,0.0,298787.0187044276,160540.07835478196,1722.1069152,0.0,0.0,1.0,-16.77127717140196,-16771277.171401959
55,2141.429770017391,1.76,1914.114874852174,72637.19026170213,88359.82409203946,11416.239695997296,35889.021960530175,135665.08574856693,69671.46366361222,63424.28829492593,25994432.854839,0.0,337508.73742893845,201843.65168037155,1705.9581503999998,0.0,0.0,1.0,-25.994432854839,-25994432.854839
