volumen,hidrologia,tiempo,aportes,vertimiento,volumen_turbinado
30850.272127167584,2.15,27,4646.5828416,418.8155784755831,3967.577684997425
31110.461705294572,2.07,28,4319.3189088,370.6061894506017,3801.6980295672124
31257.47639507676,2.07,29,4679.4591648000005,341.8783342822128,3988.7924116973295
31606.264813897218,2.26,30,4505.9347872,388.1935350180653,3912.613105117658
31811.392960961493,2.21,31,4167.0254304,280.284358188075,3854.2488035522656
31843.88522962115,2.1,32,3994.5425183999996,251.9702160569186,3996.5220685723866
31589.935463391845,2.12,33,3729.6225792,253.7659865761212,2436.8993551131734
32628.892700902554,2.02,34,3882.4005024000003,216.95744227233175,3946.9440369754607
32347.391724054756,2.04,35,4034.1006720000005,283.1240622691571,3472.219371580384
32626.14896220522,2.1,36,4264.5125376,419.24704789145466,2445.975418608417
34025.439033305345,2.15,37,4482.7382880000005,561.966817068665,2389.8600419887534
35556.35046224793,1.94,38,4671.9396864,552.7791582581684,2861.1654433032754
36814.34554708649,1.86,39,4773.702729600001,629.6902242162403,2655.175061686121
38303.182990784124,1.8,40,5124.4933824,786.6786777479414,3187.5429799473686
39453.45471548882,1.85,41,5071.075632,1136.0433479529984,2660.9987140076014
40727.48828552822,1.92,42,4931.923248,1517.9270478204855,1701.9700415387967
42439.514444168926,2.1,43,4568.774453843478,1658.753884004538,2432.264817398752
42917.27019660911,2.1,44,4372.2612864,1403.846600209337,2863.0046706664853
43022.680212133295,2.07,45,3654.358348382609,843.5736608758784,1597.7908083067587
44235.67409133327,2.05,46,3151.186310817391,932.6968778002259,2774.4409050464246
43679.72261930401,2.01,47,2580.648151930435,669.4162070250317,1134.2746985812405
44456.679865628175,1.97,48,2410.4993472,372.97694292932516,3725.1920628289618
42769.01020706988,1.92,49,2408.1587712,331.52536080192624,3231.776859611405
41613.86675785656,2.01,50,2276.899632,914.1279635068532,485.94427852505646
42490.694147824644,1.95,51,2320.1633952,363.1017278095089,3584.301675583896
40863.45413963124,1.98,52,2116.5949728,291.6276624461514,2656.633047080293
40031.7884029048,2.04,53,1931.1688937739132,166.93649210042625,1788.2411074300658
40007.77969714822,1.95,54,2018.1226464000001,98.99908904129246,4066.81057174813
37860.09268275879,1.93,55,1796.7803615999999,0.0,5020.097902162986
34636.77514219581,1.91,56,1947.7886399999998,32.0885847258925,4064.2081634653546
32488.267034004562,1.93,57,2137.6087488000003,44.67143668483121,3540.34482538437
31040.859520735357,1.98,58,2078.3419776,28.742556368948136,4102.128432447593
28988.33050951882,1.98,59,1971.9334656,57.00337323967746,3143.4340964555
27759.82650542364,1.98,60,1832.7266496,20.495124509234884,3452.541849804778
26119.51618070963,1.83,61,2013.0326496,23.38655402394732,2622.672155198091
25486.49012108759,1.89,62,1834.3178784000002,117.04859585777777,12.223954468631746
27191.53544916118,1.9,63,1872.2981088000001,199.24071589771972,0.0
28864.592842063463,1.84,64,2048.0227488,127.24054221830673,2750.068647864643
28035.30640078051,1.8,65,2190.8873952,105.05614983818101,727.1971306896645
29393.940515452665,1.78,66,2391.4058112,425.9791867678556,55.48625177152169
31303.880888113286,1.69,67,2789.4307392,301.935947447605,3106.382822620187
30684.992857245496,1.7,68,3545.643024,489.055340070286,3183.8196006003295
30557.760940574877,1.95,69,3747.869237426087,532.408172587439,3086.3254225071314
30686.896582906396,1.89,70,3547.4519808,300.61383870862915,2830.632326369764
31103.102398628,1.87,71,3456.8427906782613,539.4858080263328,2922.295580492683
31098.163800787246,1.83,72,4129.822788730435,402.20984015739384,1787.4803544607262
33038.29639489956,2.06,73,4308.2002656,354.9371733279274,3993.4922026988083
32998.067284472825,2.12,74,4005.5740704,420.3937595692234,3372.3540487298324
33210.893546573774,2.03,75,4504.541748730435,703.5114891434871,3746.3078445096694
33265.61596165105,2.09,76,4949.819253704348,520.6012246534781,2368.5434477397
35326.29054296222,2.19,77,4922.824032,407.8912779640253,4023.4138330352753
35817.80946396292,2.1,78,4845.8553696,242.3738168369187,4840.582210648726
35580.70880607727,2.08,79,4565.0824128,377.982694082236,4435.697667869465
35332.110856925574,2.05,80,4219.7010912,556.6506003114857,4063.70105664374
34931.46029117035,2.02,81,4228.2408672,543.3076445204119,3056.080909757675
35560.312604092265,2.02,82,4206.0834144,373.8730541621125,4440.077924832368
34952.44503949778,2.06,83,3719.0742624,211.81338382188775,4199.279447325338
34260.42647075056,1.84,84,3704.26392,192.2518169176796,3160.238092135474
