tiempo,volumen,hidrologia,volumen_turbinado,energia_hidro,energia_eolica,energia_solar,energia_biomasa,energia_renovable,energia_termico_bajo,energia_termico_alto,energia_exportada,costo_termico,ingreso_exportacion,demanda,demanda_residual,fraccion_turbinado,qt_max_fisico,energia_hidro_max_frac,energia_hidro_obj,aportes,vertimiento,TimeLimit.truncated,action,reward,reward_usd
28,31110.461705294572,2.07,3801.6980295672124,144267.549831636,108730.43283364398,5763.893484376083,34304.426268943746,148798.75258696382,8672.810573864881,465.73044919006674,0.0,1007000.1921435082,0.0,302204.84344165475,153406.09085469093,1.0,6143.585374145349,233137.9300029054,144267.549831636,4319.3189088,370.6061894506017,0.0,1.0,-1.428915159702301,-1428915.159702301
29,31257.47639507676,2.07,3988.7924116973295,151367.442534121,105710.5229317552,6405.6144499270995,34658.5686623392,146774.7060440215,9344.026445574145,2599.724974103239,0.0,1714320.1367883862,0.0,310085.89999781986,163311.19395379836,1.0,6115.175979977993,232059.84498488196,151367.442534121,4679.4591648000005,341.8783342822128,0.0,1.0,-2.1035300329327584,-2103530.0329327583
30,31606.264813897218,2.26,3912.613105117658,148476.5759206637,106832.62021303737,6755.8492638160105,35019.157293632656,148607.62677048604,10162.962403713567,2612.676076972547,0.0,1800099.0634631207,0.0,309859.84117183584,161252.2144013498,1.0,6122.92548879172,232353.9247987599,148476.5759206637,4505.9347872,388.1935350180653,0.0,1.0,-2.2420363622903823,-2242036.3622903824
31,31811.392960961493,2.21,3854.2488035522656,146261.75645867913,112963.317808136,6912.495966710932,34636.09143758985,154511.90521243677,10246.960847770035,2314.065749503856,0.0,1718915.8096281602,0.0,313334.6882683898,158822.783055953,1.0,6130.338139106124,232635.22144312784,146261.75645867913,4167.0254304,280.284358188075,0.0,1.0,-2.038004304096103,-2038004.304096103
32,31843.88522962115,2.1,3996.5220685723866,151660.769002907,111681.42711469864,6849.887804579319,34441.76708218248,152973.08200146045,12957.169521637075,5869.811381752253,0.0,3056660.3666893835,0.0,323460.8319077568,170487.74990629635,0.8734682033583522,5874.450210372282,222924.73833194657,151660.769002907,3994.5425183999996,251.9702160569186,0.0,0.79,-3.3435147339105606,-3343514.7339105606
33,31589.935463391845,2.12,2436.8993551131734,92475.91376648443,107779.19993502216,7307.814717086225,32995.00888109761,148082.023533206,20401.505557383833,7326.242569210408,0.0,4238023.326501506,0.0,268285.6854262847,120203.66189307868,0.6890745551511646,4700.965841977187,178393.1334339747,92475.91376648443,3729.6225792,253.7659865761212,0.0,0.5,-4.526922146677971,-4526922.146677971
34,32628.892700902554,2.02,3946.9440369754607,149779.37256154415,108649.10494879777,7909.894347552579,32997.27884153994,149556.27813789027,8141.332951333652,370.2880874494405,2.3865140974521636e-11,925219.7213681974,0.0,307847.2717382175,158290.99360032723,0.9241043080389499,5866.08756801372,222607.39121131654,149779.37256154415,3882.4005024000003,216.95744227233175,0.0,0.78,-1.1722139794379474,-1172213.9794379473
35,32347.391724054756,2.04,3472.219371580384,131764.43192487617,109305.83774373586,7929.533467364118,32767.710565039084,150003.08177613906,9789.410932864439,1100.4857629272074,0.0,1309086.822164606,0.0,292657.4103968069,142654.32862066783,1.0,6091.0125764558825,231142.88761619668,131764.43192487617,4034.1006720000005,283.1240622691571,0.0,1.0,-1.631408131532371,-1631408.131532371
36,32626.14896220522,2.1,2445.975418608417,92820.33392621086,114300.00672391738,8524.156211579264,32083.372775819946,154907.5357113166,9107.316947248604,554.4634290760663,0.0,1077070.7234476802,0.0,257389.6500138521,102482.11430253554,0.8985612044483423,5737.70048139221,217735.33396930152,92820.33392621086,4264.5125376,419.24704789145466,0.0,0.81,-1.5543606996536254,-1554360.6996536255
37,34025.439033305345,2.15,2389.8600419887534,90690.857089851,116709.7919183677,8237.11335634511,32138.75473695297,157085.6600116658,1881.921063679941,0.0,0.0,188192.1063679941,0.0,249658.43816519674,92572.77815353093,1.0,6370.799023179566,241760.27617020562,90690.857089851,4482.7382880000005,561.966817068665,0.0,1.0,-0.8279607644677163,-827960.7644677162
38,35556.35046224793,1.94,2861.1654433032754,108576.04285190966,116894.20438616359,8752.13665806451,31710.193294999768,157356.53433922786,649.270569586329,0.0,0.0,64927.0569586329,0.0,266581.84776072385,109225.31342149599,1.0,6488.656755248129,246232.7634908729,108576.04285190966,4671.9396864,552.7791582581684,0.0,1.0,-0.6942360782623291,-694236.0782623291
39,36814.34554708649,1.86,2655.175061686121,100759.08121696001,110322.89665027641,9054.746042873534,31879.889942467347,151257.5326356173,650.3443452875035,0.0,0.0,65034.434528750346,0.0,252666.95819786482,101409.42556224752,0.9767997455596924,6540.397066090184,248196.21451056376,100759.08121696001,4773.702729600001,629.6902242162403,0.0,0.9,-0.7819025222957134,-781902.5222957134
40,38303.182990784124,1.8,3187.5429799473686,120961.47882434238,108176.90193784745,9864.239537116413,31227.34317938806,149268.48465435192,1553.8208091038011,0.0,0.0,155382.08091038011,0.0,271783.7842877981,122515.2996334462,1.0,6586.174214870442,249933.37433794697,120961.4788243424,5124.4933824,786.6786777479414,0.0,1.0,-1.050972984135152,-1050972.984135152
41,39453.45471548882,1.85,2660.9987140076014,100980.07826747719,104422.57659378197,10529.749504988575,31504.85887353122,146457.18497230177,1249.767856046125,0.0,0.0,124976.7856046125,0.0,248687.03109582505,102229.8461235233,1.0,6610.229589116075,250846.23219138768,100980.07826747719,5071.075632,1136.0433479529984,0.0,1.0,-1.4183003913611174,-1418300.3913611174
42,40727.48828552822,1.92,1701.9700415387967,64586.67833952143,107996.14741250093,10636.545500075908,30752.21296938665,149384.9058819635,25335.979140535186,2538.2817771671225,0.0,3295082.4472036557,0.0,241845.84513918724,92460.93925722374,0.6908971923589706,4713.400135468597,178864.99233542918,64586.67833952143,4931.923248,1517.9270478204855,0.0,0.67,-5.023159941509366,-5023159.941509366
43,42439.514444168926,2.1,2432.264817398752,92300.04146009349,108368.1616263384,10773.160558117665,31590.321507513345,150731.6436919694,0.0,0.0,0.0,0.0,0.0,243031.68515206288,92300.04146009349,0.9878201955556869,6691.95054793206,253947.39446324133,92300.04146009349,4568.774453843478,1658.753884004538,0.0,0.94,-1.888401077389717,-1888401.077389717
44,42917.27019660911,2.1,2863.0046706664853,108645.83819683448,102923.50995295042,10848.061603908141,32262.107988332133,146033.67954519068,244.15342152038704,0.0,0.0,24415.342152038706,0.0,254923.67116354554,108889.99161835486,0.9297101184725761,6276.5337543377245,238183.08006881486,108645.83819683448,4372.2612864,1403.846600209337,0.0,0.76,-1.6226183742284774,-1622618.3742284775
45,43022.680212133295,2.07,1597.7908083067587,60633.265258094834,104473.43194198544,10923.442250445485,32514.580538018447,147911.4547304494,46686.42986722274,24251.552162689102,0.0,11944108.635529004,0.0,279482.70201845607,131571.24728800668,0.4116332941874862,2808.2216081413935,106566.92026560992,60633.265258094834,3654.358348382609,843.5736608758784,0.0,0.33,-12.904470972567797,-12904470.972567797
46,44235.67409133327,2.05,2774.4409050464246,105285.00380901646,104133.89710660212,11090.618849065764,32307.283140690088,147531.79909635798,0.0,0.0,0.0,0.0,0.0,252816.80290537444,105285.00380901646,1.0,6774.266158838719,257071.12270415845,105285.00380901646,3151.186310817391,932.6968778002259,0.0,1.0,-1.0618246722221374,-1061824.6722221375
47,43679.72261930401,2.01,1134.2746985812405,43043.66899413149,101779.74723093813,11212.704877708187,34387.941797698426,147380.39390634475,50110.683577532545,12347.936428079805,0.0,8715449.286177196,0.0,252882.6829060886,105502.28899974385,0.3597708762437105,2454.4087247407724,93140.36260898173,43043.66899413149,2580.648151930435,669.4162070250317,0.0,0.28,-9.47754340827465,-9477543.40827465
48,44456.679865628175,1.97,3725.1920628289618,141364.28705721608,99174.28621582552,11568.319282368751,35193.49844685015,145936.10394504442,299.7605161034738,0.0,0.0,29976.05161034738,0.0,287600.151518364,141664.04757331955,1.0,6754.533642181489,256322.3094612311,141364.28705721608,2410.4993472,372.97694292932516,0.0,1.0,-0.4545900225639343,-454590.0225639343
49,42769.01020706988,1.92,3231.776859611405,122640.07438586425,99338.40944907123,11291.319964265569,34924.236809625756,145553.96622296254,1680.0,107.73189469817603,0.0,200319.5684094528,0.0,269981.77250352496,124427.80628056244,1.0,6594.884872321596,250263.92800058064,122640.07438586425,2408.1587712,331.52536080192624,0.0,1.0,-0.5777431774139404,-577743.1774139404
50,41613.86675785656,2.01,485.94427852505646,18440.70461995449,97313.17091924296,11329.20102259438,35295.99925486828,143938.37119670562,74669.6301199172,35892.49954025964,0.0,18234712.874069612,0.0,272941.20547683694,129002.83428013133,0.08313540011644363,562.5351060584643,21347.18770774462,18440.70461995449,2276.899632,914.1279635068532,0.0,0.0,-19.275397827029227,-19275397.82702923
51,42490.694147824644,1.95,3584.301675583896,136017.75221815368,94055.30850885547,11043.135413804714,35184.48269391482,140282.926616575,4602.172711772941,667.3422593272718,0.0,660419.9489754756,0.0,281570.19380582887,141287.26718925388,0.9232435822486877,6216.508390742279,235905.22631338282,136017.75221815368,2320.1633952,363.1017278095089,0.0,0.79,-1.0737915277481078,-1073791.527748108
52,40863.45413963124,1.98,2656.633047080293,100814.40912014213,92467.96306251167,11350.593319777001,36432.24441620002,140250.8007984887,24621.43491870655,12842.660330835502,0.0,6314941.591121305,0.0,278529.30516817287,138278.50436968417,0.6400473759323358,4324.911160556861,164122.5398546622,100814.40912014213,2116.5949728,291.6276624461514,0.0,0.43,-6.646943923830986,-6646943.923830986
53,40031.7884029048,2.04,1788.2411074300658,67860.50892803712,92077.1464552851,11269.442481945203,36251.92264326596,139598.51158049627,43686.40592304119,22125.835038141337,0.0,11006391.103746522,0.0,273271.2614697159,133672.74988921965,0.4437680285051465,3027.4493930582144,114886.21736364037,67860.50892803712,1931.1688937739132,166.93649210042625,0.0,0.32,-11.196439073551446,-11196439.073551446
54,40007.77969714822,1.95,4066.81057174813,154328.09030397626,90611.44799048475,11377.655082999983,36257.837276160855,138246.94034964562,4529.674999593135,1682.313051212555,0.0,957661.4153230798,0.0,298787.0187044276,160540.07835478196,1.0,6502.949220702622,246775.13665048123,154328.09030397626,2018.1226464000001,98.99908904129246,0.0,1.0,-1.0703664922714233,-1070366.4922714233
55,37860.09268275879,1.93,5020.097902162986,190503.61670688444,88359.82409203946,11416.239695997296,35889.021960530175,135665.08574856693,5319.47294500525,6020.562028481866,2.677552402019501e-11,2338115.903045085,0.0,337508.73742893845,201843.65168037155,1.0,6399.79626868484,242860.66908105146,190503.61670688438,1796.7803615999999,0.0,0.0,1.0,-2.3381159037351607,-2338115.903735161
56,34636.77514219581,1.91,4064.2081634653546,154229.33362638182,86433.12223115127,11103.806498983271,36190.64757729516,133727.57630742973,7506.173943055552,4887.625790034328,2.648448571562767e-11,2216905.1313158534,0.0,300350.7096669014,166623.13335947166,1.0,6257.017007527807,237442.45490052085,154229.33362638176,1947.7886399999998,32.0885847258925,0.0,1.0,-2.253436240851879,-2253436.240851879
57,32488.267034004562,1.93,3540.34482538437,134349.6694227077,83446.21612304743,11016.43924945665,36716.177360995935,131178.8327335,15081.119777346898,4393.263832768263,0.0,2826091.127565169,0.0,285002.88576632284,153824.05303282285,0.8637796980515122,5478.022669948069,207881.0316782401,134349.6694227077,2137.6087488000003,44.67143668483121,0.0,0.64,-2.8769471329450607,-2876947.1329450607
58,31040.859520735357,1.98,4102.128432447593,155668.3391056378,86948.75525617333,11243.952255964494,36381.77820882268,134574.4857209605,15640.883166301988,11073.662500673241,0.0,4886187.066832172,0.0,316957.37049357354,182382.88477261306,0.8720098772272468,5638.000178095988,213951.88816109922,155668.3391056378,2078.3419776,28.742556368948136,0.0,0.76,-4.918908808231354,-4918908.808231354
59,28988.33050951882,1.98,3143.4340964555,119287.62664100487,86270.37463503586,11112.640300029936,36456.29165863506,133839.30659370084,10660.629062014967,1723.0615054587356,0.0,1582981.3578391173,0.0,265510.6238021794,131671.31720847858,1.0,5939.397625299495,225389.3750144435,119287.62664100487,1971.9334656,57.00337323967746,0.0,1.0,-1.64787660241127,-1647876.6024112701
60,27759.82650542364,1.98,3452.541849804778,131017.705638031,85204.61999868434,10813.929831108317,36624.74911774642,132643.29894753906,13461.502714602744,4850.23446660036,0.0,2801220.6114403824,0.0,281972.74176677316,149329.4428192341,0.9633291712403298,5685.905473237966,215769.80728574927,131017.705638031,1832.7266496,20.495124509234884,0.0,0.87,-2.8245532417297365,-2824553.2417297363
61,26119.51618070963,1.83,2622.672155198091,99525.65482565647,88086.69888007017,10519.022792061409,36456.39532520748,135062.11699733906,32086.27465945879,12775.765328058407,0.0,7041357.064363401,0.0,279449.81181051274,144387.69481317367,0.6204911289736629,4002.2975854563583,151879.93940081383,99525.65482565647,2013.0326496,23.38655402394732,0.0,0.37,-7.067981262803078,-7067981.262803078
62,25486.49012108759,1.89,12.223954468631746,463.876916769147,89008.3641081742,10162.96838403011,34108.82822734285,133280.1607195472,84000.0,45516.9736215319,0.0,22055092.08645957,0.0,263261.01125784824,129980.85053830106,0.001791805401444435,12.223954468631746,463.876916769147,463.876916769147,1834.3178784000002,117.04859585777777,0.0,0.0,-22.188346176147462,-22188346.17614746
63,27191.53544916118,1.9,0.0,0.0,89463.04536756715,9972.615210240887,33820.55439699758,133256.2149748056,84000.0,42036.43770600838,0.0,21010931.311802514,0.0,259292.65268081398,126036.43770600838,0.0,0.0,0.0,0.0,1872.2981088000001,199.24071589771972,0.0,0.0,-21.237755756378174,-21237755.756378174
64,28864.592842063463,1.84,2750.068647864643,104360.12082248362,94891.81835942432,9563.104142878781,33635.805140418444,138090.72764272155,5741.967490620914,561.3480535291467,0.0,742601.1651208353,0.0,248754.16400935524,110663.43636663369,0.9263373705744743,5853.484886807615,222129.1423012839,104360.12082248362,2048.0227488,127.24054221830673,0.0,0.87,-0.8874576038122177,-887457.6038122177
65,28035.30640078051,1.8,727.1971306896645,27595.813100688854,94289.04168629115,9295.735461339134,35191.04599428708,138775.82314191735,66974.91247678117,37082.474471479065,0.0,17822233.589121837,0.0,270429.02319086646,131653.2000489491,0.16848186735063791,1149.4075604549505,43617.93367467195,27595.813100688854,2190.8873952,105.05614983818101,0.0,0.07,-17.941833616793154,-17941833.616793156
66,29393.940515452665,1.78,55.48625177152169,2105.6026886306863,92626.97625037367,8700.199318007642,35498.240488386815,136825.41605676812,82694.22778511333,38278.428249084434,0.0,19752951.253236663,0.0,259903.67477959656,123078.25872282844,0.008303625360131264,56.648527928867345,2149.7089622336625,2105.6026886306863,2391.4058112,425.9791867678556,0.0,0.0,-20.237905702590943,-20237905.702590942
67,31303.880888113286,1.69,3106.382822620187,117881.59795256374,94836.57389358795,7972.95051741626,35494.42107808353,138303.94548908772,3796.972899078202,0.0,0.0,379697.2899078202,0.0,259982.51634072966,121678.57085164193,1.0,6338.018767970098,240516.32489760447,117881.59795256374,2789.4307392,301.935947447605,0.0,1.0,-0.7234349536895752,-723434.9536895752
68,30684.992857245496,1.7,3183.8196006003295,120820.18332656394,93489.92244418705,7886.580423981958,30304.0610313741,131680.5638995431,8776.480637919787,1314.9441502084537,0.0,1272131.3088545147,0.0,262592.1720142353,130911.60811469218,1.0,6094.382182163478,231270.7580455556,120820.18332656394,3545.643024,489.055340070286,0.0,1.0,-1.8288942432403565,-1828894.2432403564
69,30557.760940574877,1.95,3086.3254225071314,117120.45597132314,99055.78688356072,7202.4720605141165,23179.4313984164,129437.69034249125,10404.684130450203,1290.4276556114385,0.0,1427596.709728452,0.0,258253.258099876,128815.56775738478,0.9984008157253266,5960.5181583740205,226190.86096469575,117120.45597132314,3747.869237426087,532.408172587439,0.0,0.99,-2.033714458346367,-2033714.4583463669
70,30686.896582906396,1.89,2830.632326369764,107417.36640405355,100802.10191017616,6848.619997839734,24103.36180696789,131754.08371498378,25462.09436804529,7543.133308901053,0.0,4809149.4294748455,0.0,272176.6777959837,140422.5940809999,0.7641909221187234,4374.511830445592,166004.79537816826,107417.36640405355,3547.4519808,300.61383870862915,0.0,0.53,-5.151381990611553,-5151381.990611553
71,31103.102398628,1.87,2922.295580492683,110895.82076288474,101712.86540940804,6592.239287264835,35807.85017270486,144112.95486937772,14790.213828160671,3294.8784967422707,0.0,2467484.9318387485,0.0,273093.8679571654,128980.91308778769,0.8882172898948193,5229.087336078399,198434.38694091834,110895.82076288474,3456.8427906782613,539.4858080263328,0.0,0.77,-3.081660249233246,-3081660.249233246
72,31098.163800787246,1.83,1787.4803544607262,67831.63973167798,98902.87783107659,6313.888817388342,37372.87064236574,142589.63729083067,44912.94804496532,28081.317268034603,0.0,12915689.984906914,0.0,283415.54233550857,140825.9050446779,0.4579316186904907,3122.298110498171,118485.55428185778,67831.63973167798,4129.822788730435,402.20984015739384,0.0,0.41,-13.373583790063858,-13373583.790063858
73,33038.29639489956,2.06,3993.4922026988083,151545.79108448737,94681.16623634899,6226.619440106171,37637.072097554694,138544.85777400984,4990.016236768658,606.5662306118254,0.0,680971.4928604135,0.0,295687.2313258777,157142.37355186787,1.0,6326.556628595445,240081.35748289948,151545.79108448737,4308.2002656,354.9371733279274,0.0,1.0,-1.0850481736660003,-1085048.1736660004
