Semana,0-0,0-1,0-2,0-3,0-4,1-0,1-1,1-2,1-3,1-4,2-0,2-1,2-2,2-3,2-4,3-0,3-1,3-2,3-3,3-4,4-0,4-1,4-2,4-3,4-4
10,66.66666666666666,12.5,12.5,8.333333333333332,0.0,34.78260869565217,34.78260869565217,8.695652173913043,21.73913043478261,0.0,0.0,47.82608695652174,21.73913043478261,17.391304347826086,13.043478260869565,0.0,4.3478260869565215,52.17391304347826,21.73913043478261,21.73913043478261,0.0,0.0,4.3478260869565215,30.434782608695656,65.21739130434783
11,75.0,25.0,0.0,0.0,0.0,21.73913043478261,39.130434782608695,17.391304347826086,21.73913043478261,0.0,4.3478260869565215,30.434782608695656,52.17391304347826,8.695652173913043,4.3478260869565215,0.0,4.3478260869565215,30.434782608695656,39.130434782608695,26.08695652173913,0.0,0.0,0.0,30.434782608695656,69.56521739130434
12,75.0,20.833333333333336,4.166666666666666,0.0,0.0,26.08695652173913,47.82608695652174,17.391304347826086,8.695652173913043,0.0,0.0,26.08695652173913,39.130434782608695,17.391304347826086,17.391304347826086,0.0,4.3478260869565215,39.130434782608695,47.82608695652174,8.695652173913043,0.0,0.0,0.0,26.08695652173913,73.91304347826086
13,83.33333333333334,12.5,4.166666666666666,0.0,0.0,17.391304347826086,52.17391304347826,26.08695652173913,0.0,4.3478260869565215,0.0,34.78260869565217,13.043478260869565,34.78260869565217,17.391304347826086,0.0,0.0,52.17391304347826,43.47826086956522,4.3478260869565215,0.0,0.0,4.3478260869565215,21.73913043478261,73.91304347826086
14,66.66666666666666,16.666666666666664,16.666666666666664,0.0,0.0,34.78260869565217,47.82608695652174,4.3478260869565215,13.043478260869565,0.0,0.0,34.78260869565217,43.47826086956522,17.391304347826086,4.3478260869565215,0.0,0.0,34.78260869565217,52.17391304347826,13.043478260869565,0.0,0.0,0.0,17.391304347826086,82.6086956521739
15,75.0,25.0,0.0,0.0,0.0,26.08695652173913,34.78260869565217,30.434782608695656,8.695652173913043,0.0,0.0,34.78260869565217,34.78260869565217,26.08695652173913,4.3478260869565215,0.0,4.3478260869565215,21.73913043478261,43.47826086956522,30.434782608695656,0.0,0.0,13.043478260869565,21.73913043478261,65.21739130434783
16,75.0,20.833333333333336,4.166666666666666,0.0,0.0,26.08695652173913,47.82608695652174,21.73913043478261,4.3478260869565215,0.0,0.0,30.434782608695656,34.78260869565217,26.08695652173913,8.695652173913043,0.0,0.0,34.78260869565217,43.47826086956522,21.73913043478261,0.0,0.0,4.3478260869565215,26.08695652173913,69.56521739130434
17,83.33333333333334,12.5,0.0,4.166666666666666,0.0,17.391304347826086,56.52173913043478,26.08695652173913,0.0,0.0,0.0,30.434782608695656,26.08695652173913,34.78260869565217,8.695652173913043,0.0,0.0,43.47826086956522,34.78260869565217,21.73913043478261,0.0,0.0,4.3478260869565215,26.08695652173913,69.56521739130434
18,75.0,12.5,8.333333333333332,4.166666666666666,0.0,26.08695652173913,52.17391304347826,21.73913043478261,0.0,0.0,0.0,30.434782608695656,30.434782608695656,34.78260869565217,4.3478260869565215,0.0,4.3478260869565215,34.78260869565217,26.08695652173913,34.78260869565217,0.0,0.0,4.3478260869565215,34.78260869565217,60.86956521739131
19,79.16666666666666,8.333333333333332,12.5,0.0,0.0,17.391304347826086,56.52173913043478,17.391304347826086,8.695652173913043,0.0,4.3478260869565215,30.434782608695656,34.78260869565217,26.08695652173913,4.3478260869565215,0.0,4.3478260869565215,34.78260869565217,43.47826086956522,17.391304347826086,0.0,0.0,0.0,21.73913043478261,78.26086956521739
