tiempo,volumen_discreto,hidrologia,volumen,turbinado,energia_turbinada,energia_eolica,energia_solar,energia_biomasa,energia_renovable,energia_termico_bajo,energia_termico_alto,energia_exportada,costo_termico,ingreso_exportacion,demanda,demanda_residual,aportes,vertimiento,action,reward,reward_usd
59,5.44,1.85,17624.083547141145,2815.160001230769,106830.21970785597,86270.37463503586,11112.640300029936,36456.29165863506,133839.30659370084,26506.924896205965,6688.61093912847,8354.438334711826,4657275.771359137,0.0,265510.6238021794,131671.31720847858,1765.2672576,21.556700307692445,20.93,-4.657275771359138,-4657275.771359138
60,5.1,1.89,16552.634103202683,3144.6107373591976,119332.2780306965,85204.61999868434,10813.929831108317,36624.74911774642,132643.29894753906,28692.21526596426,10067.012944746464,8762.063422173122,5889325.410020365,0.0,281972.74176677316,149329.4428192341,2021.2966368,18.73056295384624,24.13,-5.889325410020365,-5889325.410020364
61,4.65,1.82,15410.58943968964,2998.08424946087,113771.86338699766,88086.69888007017,10519.022792061409,36456.39532520748,135062.11699733906,28225.096017936892,8126.2823699750215,5735.546961735889,5260394.312786195,0.0,279449.81181051274,144387.69481317367,1921.3522272,14.700408369230791,24.04,-5.260394312786195,-5260394.3127861945
62,4.29,1.79,14319.15700905954,2713.2162199224085,102961.63797528642,89008.3641081742,10162.96838403011,34108.82822734285,133280.1607195472,30388.881084727058,6330.463614554082,9700.132136266511,4938027.1928389305,0.0,263261.01125784824,129980.85053830106,1718.7230591999999,0.0,19.3,-4.93802719283893,-4938027.19283893
63,4.02,1.81,13324.663848337133,2475.0699860869568,93924.42002955083,89463.04536756715,9972.615210240887,33820.55439699758,133256.2149748056,35491.2770426104,4969.237549171707,8348.496915324564,5039898.969012553,0.0,259292.65268081398,126036.43770600838,1863.7994592,0.0,20.91,-5.039898969012552,-5039898.969012552
64,3.75,1.77,12713.393321450176,2281.399995323077,86574.99489738134,94891.81835942432,9563.104142878781,33635.805140418444,138090.72764272155,29761.526118172118,1768.6284263547766,7441.713075274551,3506741.139723644,0.0,248754.16400935524,110663.43636663369,2065.0212576,0.0,19.48,-3.5067411397236445,-3506741.1397236446
65,3.68,1.81,12497.014583727097,2614.2370857953183,99205.55922996909,94289.04168629115,9295.735461339134,35191.04599428708,138775.82314191735,34385.60019474008,9135.720630795235,11073.680006555298,6179276.208712578,0.0,270429.02319086646,131653.2000489491,2230.4739744,0.0,17.21,-6.179276208712578,-6179276.208712578
66,3.62,1.84,12113.251472331782,2368.9464701538463,89897.2249435352,92626.97625037367,8700.199318007642,35498.240488386815,136825.41605676812,35305.12345902588,3077.4576124007535,5201.547292133391,4453749.629622814,0.0,259903.67477959656,123078.25872282844,2878.8171552,38.40466043076936,23.91,-4.4537496296228145,-4453749.629622814
67,3.78,1.83,12584.717496947163,2329.9511229110376,88417.4221928169,94836.57389358795,7972.95051741626,35494.42107808353,138303.94548908772,35393.50949332437,4871.839774693548,7004.200609192876,5000902.881740501,0.0,259982.51634072966,121678.57085164193,3386.3483808,65.3559906461538,20.13,-5.000902881740501,-5000902.881740501
68,4.13,1.86,13575.758764189974,2392.9788029538463,90809.2084158756,93489.92244418705,7886.580423981958,30304.0610313741,131680.5638995431,35990.43242145285,8137.5348780498525,4025.5676006861336,6040303.705560241,0.0,262592.1720142353,130911.60811469218,3558.9347135999997,102.46517731103792,17.39,-6.040303705560241,-6040303.705560241
69,4.43,1.89,14639.249497525088,2437.0709037270904,92482.42372545919,99055.78688356072,7202.4720605141165,23179.4313984164,129437.69034249125,36132.32578760297,6429.049182503423,6228.230938180789,5541947.333511324,0.0,258253.258099876,128815.56775738478,3691.9331787130436,143.71713526153857,17.37,-5.541947333511324,-5541947.333511324
70,4.77,1.97,15750.394637249503,2671.0043477939803,101359.77393495181,100802.10191017616,6848.619997839734,24103.36180696789,131754.08371498378,32885.82786266568,11593.785482744253,5416.793199361858,6766718.431089845,0.0,272176.6777959837,140422.5940809999,3932.6890176,224.3395459103689,20.0,-6.766718431089844,-6766718.431089844
71,5.16,1.94,16787.739761145156,2598.423666911037,98605.4686443535,101712.86540940804,6592.239287264835,35807.85017270486,144112.95486937772,30542.995803047666,9034.784832503388,9202.336192116876,5764735.030055783,0.0,273093.8679571654,128980.91308778769,3604.8360358956525,171.31769501538497,16.31,-5.764735030055784,-5764735.030055784
