energia_turbinada,energia_eolica,energia_solar,energia_biomasa,energia_renovable,energia_termico_bajo,energia_termico_alto,demanda,demanda_residual
108110.75842504091,98814.04396127017,5886.590321169121,34915.35802257658,139615.99230501588,33425.69585031855,8595.783713657345,281740.7067488555,142124.7144438396
125529.96088379706,98220.28704362443,5700.530551199278,35017.87632551271,138938.69392033643,18958.209497226326,3213.092752275253,276524.56080986426,137585.86688952782
124256.72766677578,98854.63909287954,5691.159953817383,35550.51846960261,140096.31751629955,19846.229359527737,7699.692167034676,278081.1372973546,137984.81978105503
135838.27653273323,104690.69883044781,5569.164730104099,36640.267961321035,146900.13152187294,15582.8977586358,690.6738683670794,290325.77507737133,143425.6435554984
146165.57263469722,104382.0148129037,5429.313546577172,36310.39745348857,146121.72581296944,29077.908181426486,9589.793056413944,329525.6672677294,183403.94145475997
158634.9372725041,106816.05281652318,5738.184090648205,34600.92987232152,147155.16677949292,16190.176784850364,2703.5769718997694,313822.97533251636,166667.80855302344
153765.2961487725,105570.85574992996,5961.318488980014,35113.18863366362,146645.3628725736,13550.180397306533,1614.1793510264251,309256.58704763796,162611.22417506436
149602.65732667758,108730.43283364398,5763.893484376083,34304.426268943746,148798.75258696382,13695.259375085587,3398.9408107824893,302204.84344165475,153406.09085469093
158922.75244026186,105710.5229317552,6405.6144499270995,34658.5686623392,146774.7060440215,12589.676957528975,2871.184860682618,310085.89999781986,163311.19395379836
145510.49147315873,106832.62021303737,6755.8492638160105,35019.157293632656,148607.62677048604,18807.53982187922,3193.270760744224,309859.84117183584,161252.2144013498
139284.25211374796,112963.317808136,6912.495966710932,34636.09143758985,154511.90521243677,19658.812470908266,2361.5787952843366,313334.6882683898,158822.783055953
146748.8743824877,111681.42711469864,6849.887804579319,34441.76708218248,152973.08200146045,21165.96630958612,5113.1159970899225,323460.8319077568,170487.74990629635
115703.92898821604,107779.19993502216,7307.814717086225,32995.00888109761,148082.023533206,14429.675403438503,0.0,268285.6854262847,120203.66189307868
141340.22491489362,108649.10494879777,7909.894347552579,32997.27884153994,149556.27813789027,16187.968505348594,3531.9238683764206,307847.2717382175,158290.99360032723
128238.9826410802,109305.83774373586,7929.533467364118,32767.710565039084,150003.08177613906,17048.607565422797,1374.3686918540175,292657.4103968069,142654.32862066783
96519.76147348608,114300.00672391738,8524.156211579264,32083.372775819946,154907.5357113166,9538.987204804125,0.0,257389.6500138521,102482.11430253554
87226.30548314238,116709.7919183677,8237.11335634511,32138.75473695297,157085.6600116658,6402.033134202336,0.0,249658.43816519674,92572.77815353093
106742.8856135843,116894.20438616359,8752.13665806451,31710.193294999768,157356.53433922786,7367.3978150072435,756.7594026448796,266581.84776072385,109225.31342149599
103702.76298216039,110322.89665027641,9054.746042873534,31879.889942467347,151257.5326356173,4531.111829778482,0.0,252666.95819786482,101409.42556224752
121948.23551718493,108176.90193784745,9864.239537116413,31227.34317938806,149268.48465435192,5140.155686520322,0.0,271783.7842877981,122515.2996334462
103426.66874615384,104422.57659378197,10529.749504988575,31504.85887353122,146457.18497230177,2544.9558674113987,0.0,248687.03109582505,102229.8461235233
94124.3624725041,107996.14741250093,10636.545500075908,30752.21296938665,149384.9058819635,1052.567243674159,0.0,241845.84513918724,92460.93925722374
94272.27148608837,108368.1616263384,10773.160558117665,31590.321507513345,150731.6436919694,2443.06169133528,0.0,243031.68515206288,92300.04146009349
