volumen,hidrologia,tiempo,turbinado,vertimiento,energia_turbinada,energia_eolica,energia_solar,energia_biomasa,energia_renovable,energia_termico_bajo,energia_termico_alto,costo_termico,ingreso_exportacion,demanda,demanda_residual,aportes,volumen_siguiente,hidrologia_siguiente,tiempo_siguiente,action,reward
4218.72192,4,32,4218.72192,0.0,160092.85063829788,111681.42711469864,6849.887804579319,34441.76708218248,152973.08200146045,0.0,0.0,0.0,4.35152393832943,269550.69325646403,116577.61125500358,10940.952959999999,10940.952959999999,4,33,1.0,4.35152393832943
10940.952959999999,4,33,6822.144,0.0,258888.0,107779.19993502216,7307.814717086226,32995.00888109761,148082.023533206,0.0,0.0,0.0,18.33986190113021,223571.4045219039,75489.3809886979,6766.56288,10885.37184,3,34,1.0,18.33986190113021
10885.37184,3,34,6822.144,0.0,258888.0,108649.10494879776,7909.894347552579,32997.27884153994,149556.27813789027,0.0,0.0,0.0,15.190488502270904,256539.39311518124,106983.11497729097,3821.1868799999997,7884.414719999999,2,35,1.0,15.190488502270904
7884.414719999999,2,35,6822.144,0.0,258888.0,109305.83774373586,7929.533467364118,32767.710565039084,150003.08177613906,0.0,0.0,0.0,16.500990644546665,243881.17533067244,93878.09355453338,3460.6656,4522.936319999999,4,36,1.0,16.500990644546665
4522.936319999999,4,36,4522.936319999999,0.0,171637.2357446808,114300.0067239174,8524.156211579264,32083.372775819946,154907.5357113166,0.0,0.0,0.0,11.205339644445395,214491.37501154345,59583.83930022686,6534.68256,6534.68256,4,37,1.0,11.205339644445395
6534.68256,4,37,6534.68256,0.0,247979.35936170214,116709.79191836771,8237.11335634511,32138.754736952975,157085.6600116658,0.0,0.0,0.0,19.701632090237066,208048.6984709973,50963.038459331496,8810.54496,8810.54496,3,38,1.0,19.701632090237066
8810.54496,3,38,6822.144,0.0,258888.0,116894.20438616359,8752.13665806451,31710.193294999768,157356.53433922786,0.0,0.0,0.0,19.409299453862467,222151.5398006032,64795.005461375345,5923.22976,7911.630719999999,1,39,1.0,19.409299453862467
7911.630719999999,1,39,6822.144,0.0,258888.0,110322.89665027641,9054.746042873534,31879.889942467347,151257.5326356173,0.0,0.0,0.0,19.958973413739663,210555.79849822068,59298.26586260338,3175.62336,4265.110079999999,0,40,1.0,19.958973413739663
4265.110079999999,0,40,4265.110079999999,0.0,161853.1972340425,108176.90193784745,9864.239537116413,31227.34317938806,149268.48465435192,0.0,0.0,0.0,8.463519498189603,226486.4869064984,77218.00225214649,1856.6755200000002,1856.6755200000002,0,41,1.0,8.463519498189603
1856.6755200000002,0,41,1856.6755200000002,0.0,70457.47085106384,104422.57659378197,10529.749504988575,31504.85887353122,146457.18497230177,0.0,0.0,0.0,0.9675463243511361,207239.19257985425,60782.007607552485,1123.1136,1123.1136,0,42,1.0,0.9675463243511361
1123.1136,0,42,1123.1136,0.0,42620.12553191489,107996.14741250093,10636.545500075908,30752.21296938665,149384.9058819635,9533.172868777663,0.0,953317.2868777663,0.0,201538.20428265605,52153.298400692554,1886.1897600000002,1886.1897600000002,3,43,1.0,-953317.2868777663
1886.1897600000002,3,43,1886.1897600000002,0.0,71577.48276595745,108368.16162633839,10773.160558117666,31590.321507513345,150731.6436919694,0.0,0.0,0.0,1.9782722164541104,202526.40429338574,51794.76060141635,5233.455360000001,5233.455360000001,3,44,1.0,1.9782722164541104
5233.455360000001,3,44,5233.455360000001,0.0,198600.14553191492,102923.50995295042,10848.06160390814,32262.107988332133,146033.67954519068,0.0,0.0,0.0,13.219743244081766,212436.39263628796,66402.71309109728,4929.7248,4929.7248,4,45,1.0,13.219743244081766
4929.7248,4,45,4929.7248,0.0,187074.12127659575,104473.43194198546,10923.442250445485,32514.58053801845,147911.4547304494,0.0,0.0,0.0,10.208332432499843,232902.2516820467,84990.79695159732,17994.9168,12500.0,4,46,1.0,10.208332432499843
12500.0,4,46,6822.144,5494.916799999999,258888.0,104133.89710660212,11090.618849065764,32307.28314069009,147531.79909635798,0.0,0.0,0.0,19.573913000854596,210680.66908781204,63148.86999145406,5142.85632,10820.712319999999,3,47,1.0,19.573913000854596
10820.712319999999,3,47,6822.144,0.0,258888.0,101779.74723093814,11212.704877708185,34387.941797698426,147380.39390634475,0.0,0.0,0.0,19.553282481793758,210735.56908840718,63355.175182062434,3692.42496,7690.993279999999,3,48,1.0,19.553282481793758
7690.993279999999,3,48,6822.144,0.0,258888.0,99174.28621582552,11568.319282368753,35193.49844685015,145936.10394504442,0.0,0.0,0.0,16.515731101307445,239666.79293196998,93730.68898692555,1931.1263999999999,2799.9756799999986,2,49,1.0,16.515731101307445
2799.9756799999986,2,49,2799.9756799999986,0.0,106254.00223798261,99338.40944907123,11291.319964265569,34924.236809625756,145553.96622296254,0.0,0.0,0.0,2.6823158041340998,224984.81041960415,79430.84419664161,1304.79552,1304.79552,2,50,1.0,2.6823158041340998
1304.79552,2,50,1304.79552,0.0,49514.62510638298,97313.17091924294,11329.20102259438,35295.99925486828,143938.37119670562,33998.0082609422,0.0,3399800.8260942204,0.0,227451.0045640308,83512.63336732518,1157.9500799999998,1157.9500799999998,1,51,1.0,-3399800.8260942204
1157.9500799999998,1,51,1157.9500799999998,0.0,43942.10680851063,94055.30850885545,11043.135413804714,35184.48269391482,140282.926616575,50416.79474643843,0.0,5041679.474643842,0.0,234641.82817152404,94358.90155494906,612.48096,612.48096,1,52,1.0,-5041679.474643842
612.48096,1,52,612.48096,0.0,23242.54234042553,92467.96306251167,11350.593319777001,36432.24441620002,140250.8007984887,68614.41116789651,0.0,6861441.116789651,0.0,232107.75430681073,91856.95350832204,717.8976,717.8976,0,53,1.0,-6861441.116789651
717.8976,0,53,717.8976,0.0,27242.912765957448,92077.1464552851,11269.442481945203,36251.92264326596,139598.51158049627,60884.62687830956,0.0,6088462.687830956,0.0,227726.05122476327,88127.539644267,202.36608,202.36608,0,54,1.0,-6088462.687830956
202.36608,0,54,202.36608,0.0,7679.425957446809,90611.44799048477,11377.655082999983,36257.837276160855,138246.94034964562,84000.0,19062.815946597228,14118844.783979168,0.0,248989.18225368965,110742.24190404403,387.61632000000003,387.61632000000003,0,55,1.0,-14118844.783979168
387.61632000000003,0,55,387.61632000000003,0.0,14709.33680851064,88359.82409203946,11416.239695997296,35889.021960530175,135665.08574856693,84000.0,46882.85863370447,22464857.59011134,0.0,281257.281190782,145592.1954422151,366.9926400000001,366.9926400000001,0,56,1.0,-22464857.59011134
366.9926400000001,0,56,366.9926400000001,0.0,13926.705531914899,86433.12223115128,11103.806498983273,36190.64757729516,133727.57630742973,84000.0,18637.976216406532,13991392.864921961,0.0,250292.25805575115,116564.68174832143,461.58336,461.58336,1,57,1.0,-13991392.864921961
461.58336,1,57,461.58336,0.0,17516.25191489362,83446.21612304743,11016.439249456647,36716.177360995935,131178.8327335,84000.0,4807.320156875416,9842196.047062624,0.0,237502.40480526903,106323.57207176904,881.55648,881.55648,3,58,1.0,-9842196.047062624
881.55648,3,58,881.55648,0.0,33453.47063829787,86948.75525617333,11243.952255964494,36381.77820882268,134574.4857209605,84000.0,12103.185718719556,12030955.715615867,0.0,264131.14207797794,129556.65635701743,2546.8732800000002,2546.8732800000002,3,59,1.0,-12030955.715615867
2546.8732800000002,3,59,2546.8732800000002,0.0,96649.22489361704,86270.37463503586,11112.640300029934,36456.29165863506,133839.30659370084,0.0,0.0,0.0,0.922967831883501,221258.85316848286,87419.54657478203,2747.6064,2747.6064,3,60,1.0,0.922967831883501
2747.6064,3,60,2747.6064,0.0,104266.68297872342,85204.61999868434,10813.929831108317,36624.74911774642,132643.29894753906,0.0,0.0,0.0,0.19326971206181479,234977.28480564433,102333.98585810527,2097.02304,2097.02304,2,61,1.0,0.19326971206181479
2097.02304,2,61,2097.02304,0.0,79578.22361702129,88086.69888007017,10519.022792061409,36456.39532520748,135062.11699733906,18234.50256106694,0.0,1823450.256106694,0.0,232874.8431754273,97812.72617808823,1552.2192,1552.2192,2,62,1.0,-1823450.256106694
1552.2192,2,62,1552.2192,0.0,58903.90531914894,89008.36410817421,10162.96838403011,34108.82822734285,133280.1607195472,27200.11000951074,0.0,2720011.000951074,0.0,219384.17604820686,86104.01532865968,1388.56032,1388.56032,2,63,1.0,-2720011.000951074
1388.56032,2,63,1388.56032,0.0,52693.34744680851,89463.04536756715,9972.615210240887,33820.55439699758,133256.2149748056,30127.64814573089,0.0,3012764.814573089,0.0,216077.210567345,82820.9955925394,1458.11232,1458.11232,1,64,1.0,-3012764.814573089
1458.11232,1,64,1458.11232,0.0,55332.71978723404,94891.81835942433,9563.104142878781,33635.805140418444,138090.72764272155,13871.689244507106,0.0,1387168.9244507106,0.0,207295.1366744627,69204.40903174115,735.92064,735.92064,0,65,1.0,-1387168.9244507106
735.92064,0,65,735.92064,0.0,27926.85446808511,94289.04168629115,9295.735461339134,35191.04599428708,138775.82314191735,58654.84171571958,0.0,5865484.171571958,0.0,225357.51932572204,86581.69618380468,312.50016000000005,312.50016000000005,0,66,1.0,-5865484.171571958
312.50016000000005,0,66,312.50016000000005,0.0,11858.814680851066,92626.97625037367,8700.199318007642,35498.240488386815,136825.41605676812,67902.16491204462,0.0,6790216.491204462,0.0,216586.3956496638,79760.97959289569,440.65728,440.65728,0,67,1.0,-6790216.491204462
440.65728,0,67,440.65728,0.0,16722.14510638298,94836.57389358795,7972.95051741626,35494.42107808353,138303.94548908772,61626.00635513737,0.0,6162600.635513737,0.0,216652.09695060807,78348.15146152035,667.27584,667.27584,0,68,1.0,-6162600.635513737
667.27584,0,68,667.27584,0.0,25321.908723404256,93489.92244418705,7886.580423981958,30304.0610313741,131680.5638995431,61824.33738891539,0.0,6182433.738891539,0.0,218826.81001186275,87146.24611231964,184.58496,184.58496,0,69,1.0,-6182433.738891539
184.58496,0,69,184.58496,0.0,7004.664680851064,99055.78688356072,7202.4720605141165,23179.4313984164,129437.69034249125,78768.69339322105,0.0,7876869.339322105,0.0,215211.04841656337,85773.35807407212,461.94624000000005,461.94624000000005,0,70,1.0,-7876869.339322105
461.94624000000005,0,70,461.94624000000005,0.0,17530.02255319149,100802.10191017616,6848.619997839734,24103.361806967885,131754.08371498378,77529.79189514447,0.0,7752979.189514447,0.0,226813.89816331974,95059.81444833596,542.4451200000001,542.4451200000001,0,71,1.0,-7752979.189514447
542.4451200000001,0,71,542.4451200000001,0.0,20584.809148936172,101712.86540940804,6592.239287264835,35807.85017270486,144112.95486937772,62880.45927932397,0.0,6288045.927932397,0.0,227578.22329763786,83465.26842826014,407.39328,407.39328,0,72,1.0,-6288045.927932397
407.39328,0,72,407.39328,0.0,15459.83659574468,98902.87783107659,6313.8888173883415,37372.87064236574,142589.63729083067,78130.14472634849,0.0,7813014.472634849,0.0,236179.61861292383,93589.98132209317,385.2576,385.2576,2,73,1.0,-7813014.472634849
385.2576,2,73,385.2576,0.0,14619.827659574468,94681.16623634899,6226.619440106171,37637.072097554694,138544.85777400984,84000.0,9241.340671313796,11172402.201394139,0.0,246406.0261048981,107861.16833088826,2936.66688,2936.66688,2,74,1.0,-11172402.201394139
2936.66688,2,74,2936.66688,0.0,111441.1855319149,98082.60288412376,6146.379053501961,37262.135195270515,141491.11713289624,0.0,0.0,0.0,0.6510946256359341,246421.3564084518,104930.23927555556,4183.0992,4183.0992,2,75,1.0,0.6510946256359341
4183.0992,2,75,4183.0992,0.0,158741.03297872338,97729.08333357955,6210.47218626575,37412.81097847418,141352.3664983195,0.0,0.0,0.0,5.809374062214,241999.65885490287,100647.29235658338,2897.2943999999998,2897.2943999999998,3,76,1.0,5.809374062214
2897.2943999999998,3,76,2897.2943999999998,0.0,109947.07127659574,103119.13665103159,6069.428513861313,38417.16864588663,147605.73381077952,0.0,0.0,0.0,1.4233645105174584,243319.15998220068,95713.42617142116,4703.71104,4703.71104,2,77,1.0,1.4233645105174584
4703.71104,2,77,4703.71104,0.0,178497.30872340428,105982.73087603849,5646.612610231015,38066.60193105314,149695.94541732263,0.0,0.0,0.0,7.4494383631015895,253698.870509711,104002.92509238838,4868.1561599999995,4868.1561599999995,2,78,1.0,7.4494383631015895
4868.1561599999995,2,78,4868.1561599999995,0.0,184737.7029787234,108538.97196199423,6193.824760524929,38806.90781559161,153539.70453811076,0.0,0.0,0.0,5.1349009032879955,286928.3984839542,133388.69394584344,4833.5616,4833.5616,1,79,1.0,5.1349009032879955
4833.5616,1,79,4833.5616,0.0,183424.9021276596,108987.32106684642,6290.190766913083,38443.79195921555,153721.30379297506,0.0,0.0,0.0,6.352889100798781,273617.31491264683,119896.01111967178,2761.1539200000007,2761.1539200000007,2,80,1.0,6.352889100798781
