tiempo,volumen,hidrologia,turbinado,energia_turbinada,energia_eolica,energia_solar,energia_biomasa,energia_renovable,energia_termico_bajo,energia_termico_alto,costo_termico,ingreso_exportacion,demanda,demanda_residual,aportes,vertimiento,costo_vertimiento,action,reward,reward_usd
24,8060.1148649739125,2.23,4616.622206608696,175192.44534042553,104690.69883044781,5569.164730104099,36640.267961321035,146900.13152187294,22045.648645039666,2762.6954734683177,3033373.506544462,0.0,290325.77507737133,143425.6435554984,4873.184362017391,0.0,0.0,1.0,-3.033373506544462,-3033373.506544462
25,8316.677020382607,2.16,4776.179595965217,181247.35907659575,104382.0148129037,5429.313546577172,36310.39745348857,146121.72581296944,30580.58773558129,7738.22373464635,5379525.893952034,0.0,329525.6672677294,183403.94145475997,5321.274134400001,0.0,0.0,1.0,-5.379525893952034,-5379525.893952034
26,8861.77155881739,2.32,5181.6494016,196634.20330638296,106816.05281652318,5738.184090648205,34600.92987232152,147155.16677949292,19504.620502102454,4207.624674019026,3212749.4524159534,0.0,313822.97533251636,166667.80855302344,5152.394016,0.0,0.0,1.0,-3.2127494524159528,-3212749.452415953
27,8832.516173217391,2.26,5133.6373536,194812.2331042553,105570.85574992996,5961.318488980014,35113.18863366362,146645.3628725736,16856.63518262393,2747.985178126031,2510059.0717002023,0.0,309256.58704763796,162611.22417506436,4738.293504,0.0,0.0,1.0,-2.5100590717002023,-2510059.0717002023
28,8437.172323617391,2.16,4960.583773356522,188245.1633851064,108730.43283364398,5763.893484376083,34304.426268943746,148798.75258696382,19306.391254279624,665.3292131286668,2130237.8893665625,0.0,302204.84344165475,153406.09085469093,4335.7319712,0.0,0.0,1.0,-2.1302378893665623,-2130237.8893665625
29,7812.32052146087,2.06,4591.274407513043,174230.542306383,105710.5229317552,6405.6144499270995,34658.5686623392,146774.7060440215,27277.04923383557,3947.6699398782634,3912005.9053470357,0.0,310085.89999781986,163311.19395379836,4037.4827136000004,0.0,0.0,1.0,-3.9120059053470353,-3912005.9053470353
30,7258.528827547826,1.98,4159.076465113044,157829.41372978722,106832.62021303737,6755.8492638160105,35019.157293632656,148607.62677048604,35330.1774788959,4935.054812059255,5013534.1915073665,0.0,309859.84117183584,161252.2144013498,4166.7085152,0.0,0.0,1.0,-5.013534191507367,-5013534.191507367
31,7266.160877634782,1.99,4070.6172864,154472.5482255319,112963.317808136,6912.495966710932,34636.09143758985,154511.90521243677,37422.72273011955,4647.73170751835,5136591.78526746,0.0,313334.6882683898,158822.783055953,3865.4594496,0.0,0.0,1.0,-5.13659178526746,-5136591.78526746
32,7061.003040834782,1.91,4146.0122592,157333.650793617,111681.42711469864,6849.887804579319,34441.76708218248,152973.08200146045,38589.52021666872,9945.657409327048,6842649.244464988,0.0,323460.8319077568,170487.74990629635,3674.2833792,0.0,0.0,1.0,-6.842649244464988,-6842649.244464988
33,6589.2741608347815,1.92,4200.686442156522,159408.43694255318,107779.19993502216,7307.814717086225,32995.00888109761,148082.023533206,23144.220659795432,0.0,2314422.065979543,0.0,268285.6854262847,120203.66189307868,3458.6685503999997,0.0,0.0,1.0,-2.314422065979543,-2314422.065979543
34,5847.256269078261,1.84,3946.1954112000003,149750.96357021277,108649.10494879777,7909.894347552579,32997.27884153994,149556.27813789027,35833.30060250078,5996.579464913238,5382303.8997240495,0.0,307847.2717382175,158290.99360032723,3842.5913568,0.0,0.0,1.0,-5.382303899724049,-5382303.8997240495
35,5743.652214678261,2.06,4046.8740805565217,153571.53659716313,109305.83774373586,7929.533467364118,32767.710565039084,150003.08177613906,28648.438920534627,2061.5530377810264,3483309.80338777,0.0,292657.4103968069,142654.32862066783,3690.4206528000004,0.0,0.0,1.0,-3.4833098033877707,-3483309.803387771
36,5387.198786921738,1.91,3881.2477536,147286.3176787234,114300.00672391738,8524.156211579264,32083.372775819946,154907.5357113166,14892.913582483183,0.0,1489291.3582483185,0.0,257389.6500138521,102482.11430253554,4349.739744,0.0,0.0,1.0,-1.4892913582483183,-1489291.3582483183
37,5855.690777321738,2.23,4329.660646956521,164302.77425531915,116709.7919183677,8237.11335634511,32138.75473695297,157085.6600116658,6952.739992942715,0.0,695273.9992942715,0.0,249658.43816519674,92572.77815353093,5149.8695808,0.0,0.0,1.0,-0.6952739992942715,-695273.9992942715
38,6675.899711165217,2.31,4905.991159513043,186173.4726361702,116894.20438616359,8752.13665806451,31710.193294999768,157356.53433922786,4730.8872704988,0.0,473088.72704988,0.0,266581.84776072385,109225.31342149599,5052.445372800001,0.0,0.0,1.0,-0.47308872704988003,-473088.72704988
39,6822.3539244521735,2.07,4766.248832556522,180870.50460425534,110322.89665027641,9054.746042873534,31879.889942467347,151257.5326356173,4728.148213060532,0.0,472814.8213060532,0.0,252666.95819786482,101409.42556224752,5442.4058976,0.0,0.0,1.0,-0.4728148213060532,-472814.8213060532
